UniProt_Accession	UniProt_Entry_Name
Q9NXH9	TRM1_HUMAN
Q96FX7	TRM61_HUMAN
Q9UJA5	TRM6_HUMAN
Q9Y606	TRUA_HUMAN
P40222	TXLNA_HUMAN
O14530	TXND9_HUMAN
Q8IWV8	UBR2_HUMAN
Q9NYU2	UGGG1_HUMAN
Q93008	USP9X_HUMAN
Q96JH7	VCIP1_HUMAN
A3KMH1	VWA8_HUMAN
Q9NNW5	WDR6_HUMAN
P13010	XRCC5_HUMAN
P12956	XRCC6_HUMAN
Q9H0D6	XRN2_HUMAN
P67809	YBOX1_HUMAN
P16989	YBOX3_HUMAN
Q96TA2	YMEL1_HUMAN
Q9H6S0	YTDC2_HUMAN
Q7Z2W4	ZCCHV_HUMAN
Q96KR1	ZFR_HUMAN
Q5BKZ1	ZN326_HUMAN
Q9UL40	ZN346_HUMAN
